ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR,,,,,,,,,,,,
,,3257,"Inspectores de la salud laboral, medioambiental y afines",,,,,,,,,
,,3258,Ayudantes de ambulancias,,,,,,,,,
,,3259,Profesionales de la salud de nivel medio no clasificados bajo otros epígrafes,,,,,,,,,
,,3311,"Agentes de bolsa, cambio y otros servicios financieros",,,,,,,,,
,,3312,Oficiales de préstamos y créditos,,,,,,,,,
,,3313,Tenedores de libros,,,,,,,,,
,,3314,"Profesionales de nivel medio de servicios estadísticos, matemáticos y afines",,,,,,,,,
,,3315,Tasadores,,,,,,,,,
,,3321,Agentes de seguros,,,,,,,,,
,,3322,Representantes comerciales,,,,,,,,,
,,3323,Agentes de compras,,,,,,,,,
,,3324,Agentes de compras y consignatarios,,,,,,,,,
,,3331,Declarantes o gestores de aduana,,,,,,,,,
,,3332,Organizadores de conferencias y eventos,,,,,,,,,
,,3333,Agentes de empleo y contratistas de mano de obra,,,,,,,,,
,,3334,Agentes inmobiliarios,,,,,,,,,
,,3339,Agentes de servicios comerciales no clasificados bajo otros epígrafes,,,,,,,,,
,,3341,Supervisores de secretaría,,,,,,,,,
,,3342,Secretarios jurídicos,,,,,,,,,
,,3343,Secretarios administrativos y ejecutivos,,,,,,,,,
,,3344,Secretarios médicos,,,,,,,,,
,,3351,Agentes de aduana e inspectores de fronteras,,,,,,,,,
,,3352,Agentes de administración tributaria,,,,,,,,,
,,3353,Agentes de servicios de seguridad social,,,,,,,,,
,,3354,Agentes de servicios de expedición de licencias y permisos,,,,,,,,,
,,3355,Inspectores de policía y detectives,,,,,,,,,
,,3359,Agentes de la administración pública para la aplicación de la ley y afines no clasificados bajo otros epígrafes,,,,,,,,,
,,3411,Profesionales de nivel medio del derecho y servicios legales y afines,,,,,,,,,
,,3412,Trabajadores y asistentes sociales de nivel medio,,,,,,,,,
,,3413,Auxiliares laicos de las religiones,,,,,,,,,
,,3421,Atletas y deportistas,,,,,,,,,
,,3422,"Entrenadores, instructores y árbitros de actividades deportivas",,,,,,,,,
,,3423,Instructores de educación física y actividades recreativas,,,,,,,,,
,,3431,Fotógrafos,,,,,,,,,
,,3432,Diseñadores y decoradores de interior,,,,,,,,,
,,3433,"Técnicos en galerías de arte, museos y bibliotecas",,,,,,,,,
,,3434,Chefs,,,,,,,,,
,,3435,Otros profesionales de nivel medio en actividades culturales y artistas,,,,,,,,,
,,3511,Técnicos en operaciones de tecnología de la información y las comunicaciones,,,,,,,,,
,,3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones,,,,,,,,,
,,3513,Técnicos en redes y sistemas de computadores,,,,,,,,,
,,3514,Técnicos de la web,,,,,,,,,
,,3521,Técnicos de radiodifusión y grabación audio visual,,,,,,,,,
,,3522,Técnicos de ingeniería de las telecomunicaciones,,,,,,,,,
,,4110,Oficinistas generales,,,,,,,,,
,,4120,Secretarios (general),,,,,,,,,
,,4131,Operadores de máquinas de procesamiento de texto y mecanógrafos,,,,,,,,,
,,4132,Grabadores de datos,,,,,,,,,
,,4211,Cajeros de bancos y afines,,,,,,,,,
,,4212,Receptores de apuestas y afines,,,,,,,,,
,,4213,Prestamistas,,,,,,,,,
,,4214,Cobradores y afines,,,,,,,,,
,,4221,Empleados de agencias de viajes,,,,,,,,,
,,4222,Empleados de centros de llamadas,,,,,,,,,
,,4223,Telefonistas,,,,,,,,,
,,4224,Recepcionistas de hoteles,,,,,,,,,
,,4225,Empleados de ventanillas de informaciones,,,,,,,,,
,,4226,Recepcionistas (general),,,,,,,,,
,,4227,Entrevistadores de encuestas y de investigaciones de mercados,,,,,,,,,
,,4229,Empleados de servicios de información al cliente no clasificados bajo otros epígrafes,,,,,,,,,
,,4311,Empleados de contabilidad y cálculo de costos,,,,,,,,,
,,4312,"Empleados de servicios estadísticos, financieros y de seguros",,,,,,,,,
,,4313,Empleados encargados de las nóminas,,,,,,,,,
,,4321,Empleados de control de abastecimientos e inventario,,,,,,,,,
,,4322,Empleados de servicios de apoyo a la producción,,,,,,,,,
,,4323,Empleados de servicios de transporte,,,,,,,,,
,,4411,Empleados de bibliotecas,,,,,,,,,
,,4412,Empleados de servicios de correos,,,,,,,,,
,,4413,"Codificadores de datos, correctores de pruebas de imprenta y afines",,,,,,,,,
,,4414,Escribientes públicos y afines,,,,,,,,,
,,4415,Empleados de archivos,,,,,,,,,
,,4416,Empleados del servicio de personal,,,,,,,,,
,,4419,Personal de apoyo administrativo no clasificado bajo otros epígrafes,,,,,,,,,
,,5111,Auxiliares de servicio de abordo,,,,,,,,,
,,5112,Revisores y cobradores de los transportes públicos,,,,,,,,,
,,5113,Guías de turismo,,,,,,,,,
,,5120,Cocineros,,,,,,,,,
,,5131,Camareros de mesas,,,,,,,,,
,,5132,Camareros de barra,,,,,,,,,
,,5141,Peluqueros,,,,,,,,,
,,5142,Especialistas en tratamientos de belleza y afines,,,,,,,,,
,,5151,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",,,,,,,,,
,,5152,Ecónomos y mayordomos domésticos,,,,,,,,,
,,5153,Conserjes,,,,,,,,,
,,5161,"Astrólogos, adivinadores y afines",,,,,,,,,
,,5162,Acompañantes y ayudantes de cámara,,,,,,,,,
,,5163,Personal de pompas fúnebres y embalsamadores,,,,,,,,,
,,5164,Cuidadores de animales,,,,,,,,,
,,5165,Instructores de autoescuela,,,,,,,,,
,,5169,Trabajadores de servicios personales no clasificados bajo otros epígrafes,,,,,,,,,
,,5211,Vendedores de quioscos y de puestos de mercado,,,,,,,,,
,,5212,Vendedores ambulantes de productos comestibles,,,,,,,,,
,,5221,Comerciantes de tiendas,,,,,,,,,
,,5222,Supervisores de tiendas y almacenes,,,,,,,,,
,,5223,Asistentes de venta de tiendas y almacenes,,,,,,,,,
,,5230,Cajeros y expendedores de billetes,,,,,,,,,
,,5241,"Modelos de moda, arte y publicidad",,,,,,,,,
,,5242,Demostradores de tiendas,,,,,,,,,
,,5243,Vendedores puerta a puerta,,,,,,,,,
,,5244,Vendedores por teléfono,,,,,,,,,
,,5245,Expendedores de gasolineras,,,,,,,,,
,,5246,Vendedores de comidas al mostrador,,,,,,,,,
,,5249,Vendedores no clasificados bajo otros epígrafes,,,,,,,,,
,,5311,Cuidadores de niños,,,,,,,,,
,,5312,Auxiliares de maestros,,,,,,,,,
,,5321,Trabajadores de los cuidados personales en instituciones,,,,,,,,,
,,5322,Trabajadores de los cuidados personales a domicilio,,,,,,,,,
,,5329,Trabajadores de los cuidados personales en servicios de salud no clasificados bajo otros epígrafes,,,,,,,,,
,,5411,Bomberos,,,,,,,,,
,,5412,Policías,,,,,,,,,
,,5413,Guardianes de prisión,,,,,,,,,
,,5414,Guardias de protección,,,,,,,,,
,,5419,Personal de los servicios de protección no clasificados bajo otros epígrafes,,,,,,,,,
,,6111,Agricultores y trabajadores calificados de cultivos extensivos,,,,,,,,,
,,6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos,,,,,,,,,
,,6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",,,,,,,,,
,,6114,Agricultores y trabajadores calificados de cultivos mixtos ,,,,,,,,,
,,6121,Criadores de ganado,,,,,,,,,
,,6122,Avicultores y trabajadores calificados de la avicultura,,,,,,,,,
,,6123,Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura,,,,,,,,,
,,6129,Criadores y trabajadores pecuarios calificados de la cría de animales no clasificados bajo otros epígrafes,,,,,,,,,
,,6130,Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado,,,,,,,,,
,,6210,Trabajadores forestales calificados y afines,,,,,,,,,
,,6221,Trabajadores de explotaciones de acuicultura,,,,,,,,,
,,6222,Pescadores de agua dulce y en aguas costeras,,,,,,,,,
,,6223,Pescadores de alta mar,,,,,,,,,
,,6224,Cazadores y tramperos,,,,,,,,,
,,6310,Trabajadores agrícolas de subsistencia,,,,,,,,,
,,6320,Trabajadores pecuarios de subsistencia,,,,,,,,,
,,6330,Trabajadores agropecuarios de subsistencia,,,,,,,,,
,,6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia",,,,,,,,,
,,7111,Constructores de casas,,,,,,,,,
,,7112,Albañiles,,,,,,,,,
,,7113,"Mamposteros, tronzadores, labrantes y grabadores de piedra",,,,,,,,,
,,7114,"Operarios en cemento armado, enfoscadores y afines",,,,,,,,,
,,7115,Carpinteros de armar y de obra blanca,,,,,,,,,
,,7119,Oficiales y operarios de la construcción (obra gruesa) y afines no clasificados bajo otros epígrafes,,,,,,,,,
,,7121,Techadores,,,,,,,,,
,,7122,Parqueteros y colocadores de suelos,,,,,,,,,
,,7123,Revocadores,,,,,,,,,
,,7124,Instaladores de material aislante y de insonorización,,,,,,,,,
,,7125,Cristaleros,,,,,,,,,
,,7126,Fontaneros e instaladores de tuberías,,,,,,,,,
,,7127,Mecánicos-montadores de instalaciones de refrigeración y climatización,,,,,,,,,
,,7131,Pintores y empapeladores,,,,,,,,,
,,7132,Barnizadores y afines,,,,,,,,,
,,7133,Limpiadores de fachadas y deshollinadores,,,,,,,,,
,,7211,Moldeadores y macheros,,,,,,,,,
,,7212,Soldadores y oxicortadores,,,,,,,,,
,,7213,Chapistas y caldereros,,,,,,,,,
,,7214,Montadores de estructuras metálicas,,,,,,,,,
,,7215,Aparejadores y empalmadores de cables,,,,,,,,,
,,7221,Herreros y forjadores,,,,,,,,,
,,7222,Herramentistas y afines,,,,,,,,,
,,7223,Reguladores y operadores de máquinas herramientas,,,,,,,,,
,,7224,Pulidores de metales y afiladores de herramientas,,,,,,,,,
,,7231,Mecánicos y reparadores de vehículos de motor,,,,,,,,,
,,7232,Mecánicos y reparadores de motores de avión,,,,,,,,,
,,7233,Mecánicos y reparadores de máquinas agrícolas e industriales,,,,,,,,,
,,7234,Reparadores de bicicletas y afines,,,,,,,,,
,,7311,Mecánicos y reparadores de instrumentos de precisión,,,,,,,,,
,,7312,Fabricantes y afinadores de instrumentos musicales,,,,,,,,,
,,7313,"Joyeros, orfebres y plateros",,,,,,,,,
,,7314,"Alfareros y afines (barro, arcilla y abrasivos)",,,,,,,,,
,,7315,"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio",,,,,,,,,
,,7316,"Redactores de carteles, pintores decorativos y grabadores",,,,,,,,,
,,7317,"Artesanos en madera, cestería y materiales similares",,,,,,,,,
,,7318,"Artesanos de los tejidos, el cuero y materiales similares",,,,,,,,,
,,7319,Artesanos no clasificados bajo otros epígrafes,,,,,,,,,
,,7321,"Cajistas, tipógrafos y afines",,,,,,,,,
,,7322,Impresores,,,,,,,,,
,,7323,Encuadernadores y afines,,,,,,,,,
,,7411,Electricistas de obras y afines,,,,,,,,,
,,7412,Mecánicos y ajustadores electricistas,,,,,,,,,
,,7413,Instaladores y reparadores de líneas eléctricas,,,,,,,,,
,,7421,Mecánicos y reparadores en electrónica,,,,,,,,,
,,7422,Instaladores y reparadores en tecnología de la información y las comunicaciones,,,,,,,,,
,,7511,"Carniceros, pescaderos y afines",,,,,,,,,
,,7512,"Panaderos, pasteleros y confiteros",,,,,,,,,
,,7513,Operarios de la elaboración de productos lácteos,,,,,,,,,
,,7514,"Operarios de la conservación de frutas, legumbres, verduras y afines",,,,,,,,,
,,7515,Catadores y clasificadores de alimentos y bebidas,,,,,,,,,
,,7516,Preparadores y elaboradores de tabaco y sus productos,,,,,,,,,
,,7521,Operarios del tratamiento de la madera,,,,,,,,,
,,7522,Ebanistas y afines,,,,,,,,,
,,7523,Reguladores y operadores de máquinas de labrar madera,,,,,,,,,
,,7531,"Sastres, modistos, peleteros y sombrereros",,,,,,,,,
,,7532,Patronistas y cortadores de tela y afines,,,,,,,,,
,,7533,"Costureros, bordadores y afines",,,,,,,,,
,,7534,"Tapiceros, colchoneros y afines",,,,,,,,,
,,7535,"Apelambradores, pellejeros y curtidores",,,,,,,,,
,,7536,Zapateros y afines,,,,,,,,,
,,7541,Buzos,,,,,,,,,
,,7542,Dinamiteros y pegadores,,,,,,,,,
,,7543,Clasificadores y probadores de productos (excluyendo alimentos y bebidas),,,,,,,,,
,,7544,Fumigadores y otros controladores de plagas y malas hierbas,,,,,,,,,
,,7549,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios no clasificados bajo otros epígrafes",,,,,,,,,
,,8111,Mineros y operadores de instalaciones mineras,,,,,,,,,
,,8112,Operadores de instalaciones de procesamiento de minerales y rocas,,,,,,,,,
,,8113,Perforadores y sondistas de pozos y afines,,,,,,,,,
,,8114,Operadores de máquinas para fabricar cemento y otros productos minerales,,,,,,,,,
,,8121,Operadores de instalaciones de procesamiento de metales,,,,,,,,,
,,8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras  de metales",,,,,,,,,
,,8131,Operadores de plantas y máquinas de productos químicos,,,,,,,,,
,,8132,Operadores de máquinas para fabricar productos fotográficos,,,,,,,,,
,,8141,Operadores de máquinas para fabricar productos de caucho,,,,,,,,,
,,8142,Operadores de máquinas para fabricar productos de material plástico,,,,,,,,,
,,8143,Operadores de máquinas para fabricar productos de papel,,,,,,,,,
,,8151,"Operadores de máquinas de preparación de fibras, hilado y devanado",,,,,,,,,
,,8152,Operadores de telares y otras máquinas tejedoras,,,,,,,,,
,,8153,Operadores de máquinas de coser,,,,,,,,,
,,8154,"Operadores de máquinas de blanqueamiento, teñido y limpieza de tejidos",,,,,,,,,
,,8155,Operadores de máquinas de tratamiento de pieles y cueros,,,,,,,,,
,,8156,Operadores de máquinas para la fabricación de calzado y afines,,,,,,,,,
,,8157,Operadores de máquinas lavarropas,,,,,,,,,
,,8159,Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero no clasificados bajo otros epígrafes,,,,,,,,,
,,8160,Operadores de máquinas para elaborar alimentos y productos afines,,,,,,,,,
,,8171,Operadores de instalaciones para la preparación de pasta para papel y papel,,,,,,,,,
,,8172,Operadores de instalaciones de procesamiento de la madera,,,,,,,,,
,,8181,Operadores de instalaciones de vidriería y cerámica,,,,,,,,,
,,8182,Operadores de máquinas de vapor y calderas,,,,,,,,,
,,8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado",,,,,,,,,
,,8189,Operadores de máquinas y de instalaciones fijas no clasificados bajo otros epígrafes,,,,,,,,,
,,8211,Ensambladores de maquinaria mecánica,,,,,,,,,
,,8212,Ensambladores de equipos eléctricos y electrónicos,,,,,,,,,
,,8219,Ensambladores no clasificados bajo otros epígrafes,,,,,,,,,
,,8311,Maquinistas de locomotoras,,,,,,,,,
,,8312,"Guardafrenos, guardagujas y agentes de maniobras",,,,,,,,,
,,8321,Conductores de motocicletas,,,,,,,,,
,,8322,"Conductores de automóviles, taxis y camionetas",,,,,,,,,
,,8331,Conductores de autobuses y tranvías,,,,,,,,,
,,8332,Conductores de camiones pesados,,,,,,,,,
,,8341,Operadores de maquinaria agrícola y forestal móvil,,,,,,,,,
,,8342,Operadores de máquinas de movimiento de tierras y afines,,,,,,,,,
,,8343,"Operadores de grúas, aparatos elevadores y afines",,,,,,,,,
,,8344,Operadores de autoelevadoras,,,,,,,,,
,,8350,Marineros de cubierta y afines,,,,,,,,,
,,9111,Limpiadores y asistentes domésticos,,,,,,,,,
,,9112,"Limpiadores y asistentes de oficinas, hoteles y otros establecimientos",,,,,,,,,
,,9113,Personal doméstico,,,,,,,,,
,,9121,Lavanderos y planchadores manuales,,,,,,,,,
,,9122,Lavadores de vehículos,,,,,,,,,
,,9123,Lavadores de ventanas,,,,,,,,,
,,9129,Otro personal de limpieza,,,,,,,,,
,,9211,Peones de explotaciones agrícolas,,,,,,,,,
,,9212,Peones de explotaciones ganaderas,,,,,,,,,
,,9213,Peones de explotaciones de cultivos mixtos y ganaderos,,,,,,,,,
,,9214,Peones de jardinería y horticultura,,,,,,,,,
,,9215,Peones forestales,,,,,,,,,
,,9216,Peones de pesca y acuicultura,,,,,,,,,
,,9311,Peones de minas y canteras,,,,,,,,,
,,9312,Peones de obras públicas y mantenimiento,,,,,,,,,
,,9313,Peones de la construcción de edificios,,,,,,,,,
,,9321,Empacadores manuales,,,,,,,,,
,,9329,Peones de la industria manufacturera no clasificados bajo otros epígrafes,,,,,,,,,
,,9331,Conductores de vehículos accionados a pedal o a brazo,,,,,,,,,
,,9332,Conductores de vehículos y máquinas de tracción animal,,,,,,,,,
,,9333,Peones de carga,,,,,,,,,
,,9334,Reponedores de estanterías,,,,,,,,,
,,9411,Cocineros de comidas rápidas,,,,,,,,,
,,9412,Ayudantes de cocina,,,,,,,,,
,,9510,Trabajadores ambulantes de servicios y afines,,,,,,,,,
,,9520,Vendedores ambulantes (excluyendo de comida),,,,,,,,,
,,9611,Recolectores de basura y material reciclable,,,,,,,,,
,,9612,Clasificadores de desechos,,,,,,,,,
,,9613,Barrenderos y afines,,,,,,,,,
,,9621,"Mensajeros, mandaderos, maleteros y repartidores",,,,,,,,,
,,9622,Personas que realizan trabajos varios,,,,,,,,,
,,9623,Recolectores de dinero en aparatos de venta automática y lectores de medidores,,,,,,,,,
,,9624,Acarreadores de agua y recolectores de leña,,,,,,,,,
,,9629,Ocupaciones elementales no clasificadas bajo otros epígrafes,,,,,,,,,
,,´0110,Oficiales de las fuerzas armadas,,,,,,,,,
,,´0210,Suboficiales de las fuerzas armadas,,,,,,,,,
,,´0310,Otros miembros de las fuerzas armadas,,,,,,,,,
,,9998,Ocupaciones no especificadas en las anteriores,,,,,,,,,
,,9999,Ocupación ignorada,,,,,,,,,
,,,,,,,,,,,,
VIC_DEDICA,A que se dedica la víctima     (sin ingresos),1,Quehaceres del hogar,,,,,,,,,
,,2,Vive de su renta o jubilación ,,,,,,,,,
,,3,Estudiar,,,,,,,,,
,,4,Desempleado,,,,,,,,,
,,6,Otro,,,,,,,,,
,,9,Ignorado,,,,,,,,,
,,,,,,,,,,,,
VIC_DISC,Discapacidad de la víctima,1,Con discapacidad,,,,,,,,,
,,2,Sin discapacidad,,,,,,,,,
,,9,Ignorado,,,,,,,,,
,,,,,,,,,,,,
TIPO_DISCAQ,Tipo de discapacidad de la víctima,1,Ceguera,,,,,,,,,
,,2,Sordera,,,,,,,,,
,,3,Pérdida o discapacidad de las extremidades superiores,,,,,,,,,
,,4,Pérdida o discapacidad de las extremidades inferiores,,,,,,,,,
,,5,Deficiencia mental ,,,,,,,,,
,,6,Otra discapacidad ,,,,,,,,,
,,9,Ignorado,,,,,,,,,
,,,,,,,,,,,,
VIC_REL_AGR,Relación de la víctima con el agresor,1,Esposo/a,,,,,,,,,
,,2,Conviviente,,,,,,,,,
,,3,Exconviviente,,,,,,,,,
,,4,Hijos/a,,,,,,,,,
,,5,Hijastros/a,,,,,,,,,
,,6,Padre/Madre,,,,,,,,,
,,7,Nieto/a,,,,,,,,,
,,8,Suegro/a,,,,,,,,,
,,9,Hermano/a,,,,,,,,,
,,10,Otro pariente,,,,,,,,,
,,,,,,,,,,,,
OTRAS_VICTIMAS,Total otras víctimas,00 a 20,Total otras víctimas ,,,,,,,,,
,,99,Ignorado total otras víctimas,,,,,,,,,
VIC_OTRAS_HOM,Otras víctimas hombres        (de 13 años en adelante),00 a 09,Otras víctimas hombres,,,,,,,,,
,,99,Ignorado otras víctimas hombres,,,,,,,,,
VIC_OTRAS_MUJ,Otras víctimas mujeres          (de 13 años en adelante),00 a 09,Otras víctimas mujeres,,,,,,,,,
,,99,Ignorado otras víctimas víctimas,,,,,,,,,
VIC_OTRAS_N_OS,Otras víctimas niños              (de 00 a 12 años),00 a 09,Otras víctimas niños,,,,,,,,,
,,99,Ignorado otras víctimas niños,,,,,,,,,
VIC_OTRAS_N_AS,Otras víctimas niñas              (de 00 a 12 años),00 a 09,Otras víctimas niñas,,,,,,,,,
,,99,Ignorado otras víctimas niñas,,,,,,,,,
,,,,,,,,,,,,
DATOS DEL HECHO,,,,,,,,,,,,
,,,,,,,,,,,,
HEC_DIA,Día en que sucedió el hecho,1 a 31,día de ocurrencia ,,,,,,,,,
,,99,Ignorado,,,,,,,,,
,,,,,,,,,,,,
HEC_MES,Mes en que ocurrió el hecho,1,Enero,,,,,,,,,
,,2,Febrero,,,,,,,,,
,,3,Marzo,,,,,,,,,
,,4,Abril,,,,,,,,,
,,5,Mayo,,,,,,,,,
,,6,Junio,,,,,,,,,
,,7,Julio,,,,,,,,,
,,8,Agosto,,,,,,,,,
,,9,Septiembre,,,,,,,,,
,,10,Octubre,,,,,,,,,
,,11,Noviembre,,,,,,,,,
,,12,Diciembre,,,,,,,,,
,,99,Ignorado,,,,,,,,,
,,,,,,,,,,,,
HEC_ANO,Año en que ocurrió el hecho,2000,2000 en adelante (no puede ser superior al año de denuncia),,,,,,,,,
,,9999,Ignorado año de ocurrencia del hecho,,,,,,,,,
,,,,,,,,,,,,
HEC_DEPTOMCPIO,Departamento y municipio donde ocurrió el hecho,101,Guatemala,,,,,,,,,
,,102,Santa Catarina Pinula,,,,,,,,,
,,103,San José Pinula,,,,,,,,,
,,104,San José del Golfo,,,,,,,,,
,,105,Palencia,,,,,,,,,
,,106,Chinautla,,,,,,,,,
,,107,San Pedro Ayampuc,,,,,,,,,
,,108,Mixco,,,,,,,,,
,,109,San Pedro Sacatepéquez,,,,,,,,,
,,110,San Juan Sacatepéquez,,,,,,,,,
,,111,San Raymundo,,,,,,,,,
,,112,Chuarrancho,,,,,,,,,
,,113,Fraijanes,,,,,,,,,
,,114,Amatitlán,,,,,,,,,
,,115,Villa Nueva,,,,,,,,,
,,116,Villa Canales,,,,,,,,,
,,117,Petapa,,,,,,,,,
,,201,Guastatoya,,,,,,,,,
,,202,Morazán,,,,,,,,,
,,203,San Agustín Acasaguastlán,,,,,,,,,
,,204,San Cristóbal Acasaguastlán,,,,,,,,,
,,205,El Jícaro,,,,,,,,,
,,206,Sansare,,,,,,,,,
,,207,Sanarate,,,,,,,,,
,,208,San Antonio La Paz,,,,,,,,,
,,301,Antigua Guatemala,,,,,,,,,
,,302,Jocotenango,,,,,,,,,
,,303,Pastores,,,,,,,,,
,,304,Sumpango,,,,,,,,,
,,305,Santo Domingo Xenacoj,,,,,,,,,
,,306,Santiago Sacatepéquez,,,,,,,,,
,,307,San Bartolomé Milpas Altas,,,,,,,,,
,,308,San Lucas Sacatepéquez,,,,,,,,,
,,309,Santa Lucía Milpas Altas,,,,,,,,,
,,310,Magdalena Milpas Altas,,,,,,,,,
,,311,Santa María de Jesús,,,,,,,,,
,,312,Ciudad Vieja,,,,,,,,,
,,313,San Miguel Dueñas,,,,,,,,,
,,314,Alotenango,,,,,,,,,
,,315,San Antonio Aguas Calientes,,,,,,,,,
,,316,Santa Catarina Barahona,,,,,,,,,
,,401,Chimaltenango,,,,,,,,,
,,402,San José Poaquil,,,,,,,,,
,,403,San Martín Jilotepeque,,,,,,,,,
,,404,Comalapa,,,,,,,,,
,,405,Santa Apolonia,,,,,,,,,
,,406,Tecpán Guatemala,,,,,,,,,
,,407,Patzún,,,,,,,,,
,,408,Pochuta,,,,,,,,,
,,409,Patzicía,,,,,,,,,
,,410,Santa Cruz Balanyá,,,,,,,,,
,,411,Acatenango,,,,,,,,,
,,412,Yepocapa,,,,,,,,,
,,413,San Andrés Itzapa,,,,,,,,,
,,414,Parramos,,,,,,,,,
,,415,Zaragoza,,,,,,,,,
,,416,El Tejar,,,,,,,,,
,,501,Escuintla,,,,,,,,,
,,502,Santa Lucía Cotzumalguapa,,,,,,,,,
,,503,La Democracia,,,,,,,,,
,,504,Siquinalá,,,,,,,,,
,,505,Masagua,,,,,,,,,
,,506,Tiquisate,,,,,,,,,
,,507,La Gomera,,,,,,,,,
,,508,Guanagazapa,,,,,,,,,
,,509,San José,,,,,,,,,
,,510,Iztapa,,,,,,,,,
,,511,Palín,,,,,,,,,
,,512,San Vicente Pacaya,,,,,,,,,
,,513,Nueva Concepción,,,,,,,,,
,,514,Sipacate,,,,,,,,,
,,601,Cuilapa,,,,,,,,,
,,602,Barberena,,,,,,,,,
,,603,Santa Rosa de Lima,,,,,,,,,
,,604,Casillas,,,,,,,,,
,,605,San Rafael Las Flores,,,,,,,,,
,,606,Oratorio,,,,,,,,,
,,607,San Juan Tecuaco,,,,,,,,,
,,608,Chiquimulilla,,,,,,,,,
,,609,Taxisco,,,,,,,,,
,,610,Santa María Ixhuatán,,,,,,,,,
,,611,Guazacapán,,,,,,,,,
,,612,Santa Cruz Naranjo,,,,,,,,,
,,613,Pueblo Nuevo Viñas,,,,,,,,,
,,614,Nueva Santa Rosa,,,,,,,,,
,,701,Sololá,,,,,,,,,
,,702,San José Chacayá,,,,,,,,,
,,703,Santa María Visitación,,,,,,,,,
,,704,Santa Lucía Utatlán,,,,,,,,,
,,705,Nahualá,,,,,,,,,
,,706,Santa Catarina Ixtahuacán,,,,,,,,,
,,707,Santa Clara La Laguna,,,,,,,,,
,,708,Concepción,,,,,,,,,
,,709,San Andrés Semetabaj,,,,,,,,,
,,710,Panajachel,,,,,,,,,
,,711,Santa Catarina Palopó,,,,,,,,,
,,712,San Antonio Palopó,,,,,,,,,
,,713,San Lucas Toliman,,,,,,,,,
,,714,Santa Cruz La Laguna,,,,,,,,,
,,715,San Pablo La Laguna,,,,,,,,,
,,716,San Marcos La Laguna,,,,,,,,,
,,717,San Juan La Laguna,,,,,,,,,
,,718,San Pedro La Laguna,,,,,,,,,
,,719,Santiago Atitlán,,,,,,,,,
,,801,Totonicapán,,,,,,,,,
