Salas (mixtas),Tribunales de Sentencia,Juzgados de Primera Instancia Penal,"Juzgados de Primera Instancia Penal, Narcoactividad y Delitos contral el Ambiente",Juzgados de Adolescentes y Niñez,Juzgados de Ejecución,Juzgados de Paz Penal y Comunitarios,Juzgados de Violencia Contra la Mujer y Femicidio,Tribunales de sentencia Violencia Contra la Mujer y Femicidio,Juzgados y Tribunales de Mayor Riesgo,Total,Fiscalías Regionales,Fiscalías Distritales,Fiscalías Municipales,Agencias Fiscales ,Coordinadora departamental,Coordinadora municipal,Secciones especiales,TOTAL CORDINACIONES ,Comisarias (oficina de atención a la víctima) ,Estaciones ,Subestaciones,División de investigación criminal (DEIC),Totales,DEPARTAMENTO_NORM,MUNICIPIO_NORM_MATCH
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,acatenango
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,agua blanca
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,aguacatan
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,almolonga
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,alotenango
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,amatitlan
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,antigua guatemala
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,asuncion mita
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,atescatempa
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,ayutla
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,barberena
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,cabanas
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,cabrican
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,cahabon
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,cajola
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,camotan
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,canilla
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,cantel
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,casillas
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,catarina
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,chahal
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,chajul
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,champerico
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,chiantla
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,chicacao
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,chicaman
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,chichicastenango
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,chiche
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,chinautla
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,chinique
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,chiquimulilla
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,chisec
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,chuarrancho
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,ciudad vieja
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,coatepeque
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,coban
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,colomba
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,colotenango
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,comapa
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,comitancillo
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,concepcion
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,concepcion chiquirichapa
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,concepcion huista
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,concepcion las minas
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,concepcion tutuapa
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,conguaco
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,cubulco
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,cuilapa
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,cuilco
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,cunen
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,cuyotenango
0,3,0,2,1,0,0,1,1,0,8,1,1,3,17,0.0,0.0,0.0,1,1,6,22,1,30,jutiapa,el adelanto
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,el asintal
1,2,0,3,1,0,1,1,1,0,10,1,1,5,14,0.0,0.0,0.0,3,1,6,18,1,26,peten,el chal
1,2,0,1,1,0,0,1,1,0,7,0,1,2,5,0.0,0.0,0.0,1,1,5,14,1,21,izabal,el estor
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,el jicaro
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,el palmar
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,el quetzal
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,el rodeo
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,el tejar
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,el tumbador
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,esquipulas
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,esquipulas palo gordo
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,estanzuela
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,flores costa cuca
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,fraijanes
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,fray bartolome de las casas
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,granados
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,gualan
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,guanagazapa
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,guastatoya
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,guazacapan
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,genova
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,huitan
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,huite
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,ipala
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,ixchiguan
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,ixcan
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,iztapa
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,jacaltenango
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,jalpatagua
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,jerez
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,jocotenango
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,jocotan
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,joyabaj
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,la blanca
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,la democracia
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,la democracia
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,la esperanza
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,la gomera
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,la libertad
1,2,0,3,1,0,1,1,1,0,10,1,1,5,14,0.0,0.0,0.0,3,1,6,18,1,26,peten,la libertad
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,la reforma
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,la union
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,lanquin
1,2,0,3,1,0,1,1,1,0,10,1,1,5,14,0.0,0.0,0.0,3,1,6,18,1,26,peten,las cruces
1,2,0,1,1,0,0,1,1,0,7,0,1,2,5,0.0,0.0,0.0,1,1,5,14,1,21,izabal,livingston
1,2,0,1,1,0,0,1,1,0,7,0,1,2,5,0.0,0.0,0.0,1,1,5,14,1,21,izabal,los amates
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,magdalena milpas altas
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,malacatancito
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,malacatan
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,masagua
1,1,0,1,1,0,0,0,0,0,4,0,1,0,7,0.0,0.0,0.0,1,1,4,7,1,13,jalapa,mataquescuintla
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,mazatenango
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,mixco
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,momostenango
1,1,0,1,1,0,0,0,0,0,4,0,1,0,7,0.0,0.0,0.0,1,1,4,7,1,13,jalapa,monjas
1,2,0,1,1,0,0,1,1,0,7,0,1,2,5,0.0,0.0,0.0,1,1,5,14,1,21,izabal,morales
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,morazan
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,moyuta
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,nahuala
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,nebaj
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,nenton
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,nueva concepcion
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,nueva santa rosa
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,nuevo progreso
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,nuevo san carlos
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,0
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,olintepeque
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,olopa
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,oratorio
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,pachalum
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,pajapita
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,palencia
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,palestina de los altos
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,palin
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,panajachel
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,panzos
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,parramos
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,pasaco
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,pastores
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,patulul
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,patzicia
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,patzite
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,patzun
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,petatan
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,petatan
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,pochuta
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,pueblo nuevo
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,pueblo nuevo vinas
1,2,0,1,1,0,0,1,1,0,7,0,1,2,5,0.0,0.0,0.0,1,1,5,14,1,21,izabal,puerto barrios
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,puerto san jose
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,purulha
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,quesada
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,quezaltepeque
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,rabinal
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,raxruha
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,rio blanco
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,rio bravo
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,rio hondo
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,sacapulas
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,salama
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,salcaja
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,samayac
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,san agustin acasaguastlan
1,2,0,3,1,0,1,1,1,0,10,1,1,5,14,0.0,0.0,0.0,3,1,6,18,1,26,peten,san andres
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,san andres itzapa
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,san andres sajcabaja
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san andres semetabaj
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,san andres villa seca
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,san andres xecul
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,san antonio aguas calientes
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san antonio huista
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,san antonio ilotenango
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,san antonio la paz
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san antonio palopo
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san antonio sacatepequez
