Salas (mixtas),Tribunales de Sentencia,Juzgados de Primera Instancia Penal,"Juzgados de Primera Instancia Penal, Narcoactividad y Delitos contral el Ambiente",Juzgados de Adolescentes y Niñez,Juzgados de Ejecución,Juzgados de Paz Penal y Comunitarios,Juzgados de Violencia Contra la Mujer y Femicidio,Tribunales de sentencia Violencia Contra la Mujer y Femicidio,Juzgados y Tribunales de Mayor Riesgo,Total,Fiscalías Regionales,Fiscalías Distritales,Fiscalías Municipales,Agencias Fiscales ,Coordinadora departamental,Coordinadora municipal,Secciones especiales,TOTAL CORDINACIONES ,Comisarias (oficina de atención a la víctima) ,Estaciones ,Subestaciones,División de investigación criminal (DEIC),Totales,DEPARTAMENTO_NORM,MUNICIPIO_NORM_MATCH
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san antonio suchitepequez
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,san bartolo
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,san bartolome jocotenango
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,san bartolome milpas altas
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san bernardino
1,1,0,1,1,0,0,0,0,0,4,0,1,0,7,0.0,0.0,0.0,1,1,4,7,1,13,jalapa,san carlos alzatate
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,san carlos sija
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,san cristobal acasaguastlan
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san cristobal cucho
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,san cristobal totonicapan
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,san cristobal verapaz
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san diego
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,san felipe
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,san francisco el alto
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,san francisco la union
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san francisco zapotitlan
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san gabriel
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san gaspar ixchil
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san ildefonso ixtahuacan
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,san jacinto
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,san jeronimo
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,san jorge
1,2,0,3,1,0,1,1,1,0,10,1,1,5,14,0.0,0.0,0.0,3,1,6,18,1,26,peten,san jose
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,san jose acatempa
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san jose chacaya
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san jose el idolo
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,san jose la arada
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san jose la maquina
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san jose ojetenam
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san jose pinula
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,san jose poaquil
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san jose del golfo
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san juan atitan
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san juan bautista
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,san juan chamelco
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,san juan comalapa
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,san juan cotzal
1,2,1,1,1,1,1,1,1,0,10,0,1,2,11,0.0,0.0,0.0,1,1,4,14,1,20,chiquimula,san juan ermita
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san juan ixcoy
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san juan la laguna
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,san juan ostuncalco
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san juan sacatepequez
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,san juan tecuaco
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san lorenzo
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san lorenzo
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,san lucas sacatepequez
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san lucas toliman
1,1,0,1,1,0,0,0,0,0,4,0,1,0,7,0.0,0.0,0.0,1,1,4,7,1,13,jalapa,san luis jilotepeque
1,1,0,1,1,0,0,0,0,0,4,0,1,0,7,0.0,0.0,0.0,1,1,4,7,1,13,jalapa,san manuel chaparron
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san marcos la laguna
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,san martin jilotepeque
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,san martin sacatepequez
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,san martin zapotitlan
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,san mateo
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san mateo ixtatan
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san miguel acatan
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,san miguel chicaj
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,san miguel duenas
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san miguel ixtahuacan
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san miguel panan
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san miguel petapa
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,san miguel siguila
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san pablo
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,san pablo jocopilas
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san pablo la laguna
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san pedro ayampuc
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,san pedro carcha
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,san pedro jocopilas
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,san pedro la laguna
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san pedro necta
1,1,0,1,1,0,0,0,0,0,4,0,1,0,7,0.0,0.0,0.0,1,1,4,7,1,13,jalapa,san pedro pinula
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san pedro sacatepequez
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san pedro sacatepequez
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san pedro soloma
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,san pedro yepocapa
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san rafael la independencia
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san rafael petzal
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,san rafael las flores
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,san rafael pie de la cuesta
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,san raymundo
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,san sebastian
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san sebastian coatan
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,san sebastian huehuetenango
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,san vicente pacaya
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,sanarate
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,sansare
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,santa ana huista
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,santa apolonia
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,santa barbara
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,santa barbara
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,santa catalina la tinta
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,santa catarina barahona
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santa catarina ixtahuacan
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,santa catarina mita
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santa catarina palopo
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,santa catarina pinula
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santa clara la laguna
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,santa cruz balanya
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,santa cruz barillas
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santa cruz la laguna
1,1,0,2,1,0,0,0,0,0,5,1,1,0,36,0.0,0.0,0.0,2,1,3,13,1,18,retalhuleu,santa cruz mulua
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,santa cruz naranjo
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,santa cruz verapaz
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,santa cruz del quiche
0,1,0,1,1,0,0,0,0,0,3,0,1,1,8,0.0,0.0,0.0,1,1,2,8,1,12,baja verapaz,santa cruz el chol
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,santa eulalia
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,santa lucia cotzumalguapa
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,santa lucia la reforma
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,santa lucia milpas altas
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santa lucia utatlan
0,1,0,1,0,0,2,0,0,0,4,0,1,0,8,0.0,0.0,0.0,2,1,3,10,1,15,totonicapan,santa maria chiquimula
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,santa maria ixhuatan
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santa maria visitacion
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,santa maria de jesus
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,santa rosa de lima
0,2,0,1,1,0,1,1,1,0,7,0,1,1,19,0.0,0.0,0.0,2,1,4,23,1,29,solola,santiago atitlan
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,santiago chimaltenango
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,santiago sacatepequez
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,santo domingo suchitepequez
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,santo domingo xenacoj
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,santo tomas la union
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,senahu
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,sibilia
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,sibinal
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,sipacapa
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,sipacate
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,siquinala
1,1,1,1,1,0,1,0,0,0,6,0,1,0,16,0.0,0.0,0.0,1,1,3,17,1,22,sacatepequez,sumpango
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,tacana
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,tactic
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,tajumulco
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,tamahu
1,1,0,2,1,0,0,0,0,0,5,0,1,2,14,0.0,0.0,0.0,1,1,4,19,1,25,santa rosa,taxisco
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,tecpan guatemala
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,tectitan
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,teculutan
1,2,0,2,2,0,2,1,1,0,11,0,1,4,29,0.0,0.0,0.0,5,1,5,27,1,34,san marcos,tejutla
1,3,1,2,1,0,1,1,1,0,11,0,1,3,14,0.0,0.0,0.0,2,1,5,20,1,27,escuintla,tiquisate
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,todos santos cuchumatan
1,3,0,1,1,0,1,1,1,0,9,0,1,3,17,0.0,0.0,0.0,2,1,5,18,1,25,alta verapaz,tucuru
0,2,0,1,1,0,1,1,1,0,7,0,1,6,33,0.0,0.0,0.0,6,1,7,35,1,44,huehuetenango,union cantinil
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,uspantan
1,1,0,2,1,0,0,0,0,0,5,1,1,1,12,0.0,0.0,0.0,1,1,3,11,1,16,zacapa,usumatlan
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,villa canales
0,26,5,15,7,2,11,3,2,10,81,0,1,8,17,0.0,0.0,0.0,15,6,37,129,11,183,guatemala,villa nueva
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,yupiltepeque
1,2,0,3,1,0,0,1,1,0,9,0,1,3,21,0.0,0.0,0.0,3,1,8,23,1,33,quiche,zacualpa
0,1,0,1,0,0,0,0,0,0,2,0,1,0,8,0.0,0.0,0.0,1,1,3,11,1,16,el progreso,zapotitlan
0,2,0,1,1,0,0,1,1,0,6,0,1,0,16,0.0,0.0,0.0,1,1,4,15,1,21,chimaltenango,zaragoza
0,6,1,8,3,2,1,1,1,2,25,1,2,0,24,0.0,0.0,0.0,5,1,7,28,1,37,quetzaltenango,zunil
0,2,0,2,1,0,0,1,1,0,7,0,1,1,21,0.0,0.0,0.0,1,1,3,22,1,27,suchitepequez,zunilito
